iter	Passed	Remaining
786	26352	7132
787	26384	7098
788	26419	7065
789	26450	7031
790	26482	6997
791	26512	6962
792	26544	6928
793	26576	6895
794	26607	6861
795	26647	6829
796	26681	6795
797	26712	6761
798	26745	6728
799	26778	6694
800	26812	6661
801	26844	6627
802	26876	6593
803	26908	6559
804	26942	6526
805	26975	6492
806	27007	6459
807	27039	6425
808	27088	6395
809	27119	6361
810	27152	6327
811	27185	6294
812	27217	6260
813	27251	6226
814	27283	6193
815	27318	6159
816	27352	6126
817	27384	6092
818	27418	6059
819	27453	6026
820	27487	5992
821	27520	5959
822	27568	5929
823	27599	5895
824	27631	5861
825	27662	5827
826	27692	5793
827	27725	5759
828	27759	5726
829	27792	5692
830	27841	5662
831	27877	5629
832	27911	5595
833	27948	5562
834	27983	5529
835	28018	5496
836	28062	5464
837	28097	5431
838	28132	5398
839	28166	5365
840	28202	5332
841	28236	5298
842	28271	5265
843	28306	5232
844	28342	5198
845	28375	5165
846	28409	5131
847	28446	5098
848	28479	5065
849	28512	5031
850	28550	4998
851	28587	4965
852	28627	4933
853	28663	4900
854	28698	4867
855	28735	4834
856	28771	4800
857	28807	4767
858	28845	4734
859	28880	4701
860	28916	4668
861	28951	4634
862	28985	4601
863	29021	4568
864	29053	4534
865	29088	4500
866	29119	4466
867	29152	4433
868	29185	4399
869	29218	4365
870	29249	4332
871	29287	4299
872	29319	4265
873	29354	4231
874	29386	4198
875	29420	4164
876	29451	4130
877	29484	4096
878	29517	4063
879	29553	4030
880	29585	3996
881	29619	3962
882	29653	3929
883	29688	3895
884	29722	3862
885	29756	3828
886	29791	3795
887	29824	3761
888	29858	3728
889	29892	3694
890	29929	3661
891	29963	3627
892	29996	3594
893	30029	3560
894	30063	3526
895	30105	3494
896	30138	3460
897	30171	3427
898	30205	3393
899	30238	3359
900	30270	3326
901	30303	3292
902	30336	3258
903	30369	3225
904	30403	3191
905	30439	3158
906	30473	3124
907	30509	3091
908	30543	3057
909	30577	3024
910	30611	2990
911	30644	2956
912	30677	2923
913	30710	2889
914	30743	2855
915	30776	2822
916	30808	2788
917	30842	2754
918	30874	2721
919	30908	2687
920	30949	2654
921	31026	2624
922	31065	2591
923	31101	2558
924	31137	2524
925	31174	2491
926	31213	2458
927	31249	2424
928	31285	2391
929	31320	2357
930	31355	2323
931	31389	2290
932	31421	2256
933	31455	2222
934	31487	2188
935	31519	2155
936	31550	2121
937	31581	2087
938	31613	2053
939	31644	2019
940	31675	1986
941	31706	1952
942	31737	1918
943	31767	1884
944	31798	1850
945	31829	1816
946	31860	1783
947	31890	1749
948	31926	1715
949	31960	1682
950	31991	1648
951	32022	1614
952	32052	1580
953	32084	1547
954	32114	1513
955	32144	1479
956	32174	1445
957	32205	1411
958	32235	1378
959	32265	1344
960	32296	1310
961	32326	1276
962	32357	1243
963	32388	1209
964	32417	1175
965	32447	1142
966	32476	1108
967	32507	1074
968	32536	1040
969	32566	1007
970	32596	973
971	32625	939
972	32654	906
973	32685	872
974	32717	838
975	32752	805
976	32785	771
977	32815	738
978	32849	704
979	32882	671
980	32916	637
981	32951	603
982	32984	570
983	33017	536
984	33050	503
985	33084	469
986	33116	436
987	33149	402
988	33184	369
989	33217	335
990	33249	301
991	33282	268
992	33316	234
993	33351	201
994	33384	167
995	33418	134
996	33452	100
997	33486	67
998	33522	33
999	33555	0
